Input file,|A_N|,|B_N|,|C_N|
n=15_r=28_0.txt,1625702400,1200,192
n=15_r=28_1.txt,21398307840,38400,3072
n=15_r=28_2.txt,9237888000,82944,11520
n=15_r=28_3.txt,7925299200,9600,384
n=15_r=28_4.txt,32454100224,76800,3072
n=15_r=28_5.txt,28316517840,229376,64
n=15_r=28_6.txt,47297986560,248832,51840
n=15_r=28_7.txt,24924556800,72576,60
n=15_r=28_8.txt,21163161600,92160,18432
n=15_r=28_9.txt,28619136000,57600,288
n=15_r=28_10.txt,66966681600,280800,216
n=15_r=28_11.txt,30081024000,36288,648
n=15_r=28_12.txt,19547892000,215040,192
n=15_r=28_13.txt,58198694400,414720,92160
n=15_r=28_14.txt,13246571520,92160,2304
n=15_r=28_15.txt,8778792960,14400,4608
n=15_r=28_16.txt,22428057600,27648,432
n=15_r=28_17.txt,11860992000,62208,2160
n=15_r=28_18.txt,43734712320,331776,2592
n=15_r=28_19.txt,46702656000,207360,5760
n=15_r=28_20.txt,164229120000,124416,8640
n=15_r=28_21.txt,72459878400,34560,1728
n=15_r=28_22.txt,13919817600,172032,1536
n=15_r=28_23.txt,8397043200,7680,32
n=15_r=28_24.txt,45287424000,207360,5184
n=15_r=28_25.txt,94828631040,347904,1440
n=15_r=28_26.txt,10173340800,46080,768
n=15_r=28_27.txt,4871936160,71680,1024
n=15_r=28_28.txt,58883760000,129024,96
n=15_r=28_29.txt,22932357120,62208,31104
n=15_r=28_30.txt,17557585920,43200,13824
n=15_r=28_31.txt,23887872000,41472,5184
n=15_r=28_32.txt,11811225600,20736,432
n=15_r=28_33.txt,28740096000,69120,2880
n=15_r=28_34.txt,8883302400,17920,192
n=15_r=28_35.txt,18114969600,34560,1728
n=15_r=28_36.txt,51201662976,169344,288
n=15_r=28_37.txt,16345929600,86400,3840
n=15_r=28_38.txt,4829479200,25600,256
n=15_r=28_39.txt,8957952000,82944,10368
n=15_r=28_40.txt,13552110000,73728,320
n=15_r=28_41.txt,19707494400,62208,17280
n=15_r=28_42.txt,16006568760,141120,32
n=15_r=28_43.txt,87588864000,279936,38880
n=15_r=28_44.txt,22575127680,120960,192
n=15_r=28_45.txt,7278336000,49152,576
n=15_r=28_46.txt,9746568000,73728,48
n=15_r=28_47.txt,32920473600,57600,9216
n=15_r=28_48.txt,19926466560,77760,8640
n=15_r=28_49.txt,4818528000,27648,240
n=15_r=28_50.txt,48988800000,73728,2304
n=15_r=28_51.txt,6860700000,25920,800
n=15_r=28_52.txt,9623577600,26880,192
n=15_r=28_53.txt,40327372800,72576,720
n=15_r=28_54.txt,37309870080,33600,1536
n=15_r=28_55.txt,17371791360,68040,4320
n=15_r=28_56.txt,11612160000,17280,864
n=15_r=28_57.txt,13798512000,61440,384
n=15_r=28_58.txt,4528742400,34560,1728
n=15_r=28_59.txt,4354560000,3840,192
n=15_r=28_60.txt,13645195200,92160,96
n=15_r=28_61.txt,11645337600,55296,3456
n=15_r=28_62.txt,6728417280,82944,2592
n=15_r=28_63.txt,7920000000,20736,180
n=15_r=28_64.txt,77837760000,69120,960
n=15_r=28_65.txt,28035072000,55296,432
n=15_r=28_66.txt,7997184000,82944,216
n=15_r=28_67.txt,22676459520,54432,630
n=15_r=28_68.txt,20217600000,12288,96
n=15_r=28_69.txt,24675840000,40320,288
n=15_r=28_70.txt,101047564800,403200,2304
n=15_r=28_71.txt,3019161600,17280,864
n=15_r=28_72.txt,29436825600,138240,1728
n=15_r=28_73.txt,7653574656,46080,576
n=15_r=28_74.txt,13219200000,64512,288
n=15_r=28_75.txt,6131220480,19440,8640
n=15_r=28_76.txt,53508833280,62208,31104
n=15_r=28_77.txt,6889881600,25920,432
n=15_r=28_78.txt,60976281600,516096,3024
n=15_r=28_79.txt,20528640000,41472,2880
n=15_r=28_80.txt,5225472000,34560,3456
n=15_r=28_81.txt,27072921600,96768,1296
n=15_r=28_82.txt,25354765800,128000,1024
n=15_r=28_83.txt,38173524480,94080,192
n=15_r=28_84.txt,5726028672,117600,384
n=15_r=28_85.txt,4106059776,10080,288
n=15_r=28_86.txt,25698124800,258048,9216
n=15_r=28_87.txt,50247475200,145152,432
n=15_r=28_88.txt,40327372800,96768,360
n=15_r=28_89.txt,6472120320,37632,384
n=15_r=28_90.txt,39634583040,258048,2016
n=15_r=28_91.txt,47589120000,129024,1152
n=15_r=28_92.txt,34646092416,196608,192
n=15_r=28_93.txt,14100480000,48384,432
n=15_r=28_94.txt,40121827200,51200,2048
n=15_r=28_95.txt,36178182144,145152,1728
n=15_r=28_96.txt,59337684000,440320,4608
n=15_r=28_97.txt,18817920000,93312,7200
n=15_r=28_98.txt,8304768000,55296,576
n=15_r=28_99.txt,14329224000,40960,1024
