Input file,|A_N|,|B_N|,|C_N|
n=12_r=22_0.txt,69287400,6400,64
n=12_r=22_1.txt,49420800,1728,120
n=12_r=22_2.txt,176947200,7776,1944
n=12_r=22_3.txt,209926080,3840,32
n=12_r=22_4.txt,381024000,4800,384
n=12_r=22_5.txt,125494272,4032,48
n=12_r=22_6.txt,236500992,7056,288
n=12_r=22_7.txt,20247552,2304,36
n=12_r=22_8.txt,109486080,7776,4320
n=12_r=22_9.txt,381024000,3840,384
n=12_r=22_10.txt,90347400,9216,160
n=12_r=22_11.txt,36893220,4704,28
n=12_r=22_12.txt,50544000,3072,96
n=12_r=22_13.txt,60125184,5670,216
n=12_r=22_14.txt,41872896,6048,72
n=12_r=22_15.txt,56548800,2520,80
n=12_r=22_16.txt,177914880,10368,1440
n=12_r=22_17.txt,75735000,8064,80
n=12_r=22_18.txt,288054144,16000,3072
n=12_r=22_19.txt,58060800,1440,288
n=12_r=22_20.txt,199874304,17920,768
n=12_r=22_21.txt,32076000,9216,480
n=12_r=22_22.txt,105815808,7680,6144
n=12_r=22_23.txt,15840000,288,20
n=12_r=22_24.txt,138240000,3456,216
n=12_r=22_25.txt,69975360,1920,16
n=12_r=22_26.txt,218050560,8640,216
n=12_r=22_27.txt,268738560,18432,3456
n=12_r=22_28.txt,70087680,4608,144
n=12_r=22_29.txt,68992560,15360,384
n=12_r=22_30.txt,33048000,1792,32
n=12_r=22_31.txt,121927680,3600,1152
n=12_r=22_32.txt,255532032,4410,24
n=12_r=22_33.txt,259096320,8400,384
n=12_r=22_34.txt,416404800,26880,768
n=12_r=22_35.txt,52289280,1344,8
n=12_r=22_36.txt,274959360,16128,288
n=12_r=22_37.txt,482947920,12800,256
n=12_r=22_38.txt,119750400,5760,480
n=12_r=22_39.txt,111974400,1536,384
n=12_r=22_40.txt,165888000,10368,1296
n=12_r=22_41.txt,82487808,5376,192
n=12_r=22_42.txt,99792000,4320,480
n=12_r=22_43.txt,221719680,9408,192
n=12_r=22_44.txt,191872800,18816,768
n=12_r=22_45.txt,201277440,12960,1296
n=12_r=22_46.txt,70761600,3840,192
n=12_r=22_47.txt,62001450,20480,4096
n=12_r=22_48.txt,47900160,2160,960
n=12_r=22_49.txt,46332000,2304,80
n=12_r=22_50.txt,504631296,36864,864
n=12_r=22_51.txt,29937600,4320,960
n=12_r=22_52.txt,851350500,28800,640
n=12_r=22_53.txt,71280000,10368,720
n=12_r=22_54.txt,30663360,3840,96
n=12_r=22_55.txt,31988736,3456,72
n=12_r=22_56.txt,55987200,4608,1152
n=12_r=22_57.txt,145152000,8640,864
n=12_r=22_58.txt,231660000,13824,240
n=12_r=22_59.txt,566092800,34560,1728
n=12_r=22_60.txt,153316800,6144,96
n=12_r=22_61.txt,201960000,12096,120
n=12_r=22_62.txt,331164288,15360,768
n=12_r=22_63.txt,221130000,15360,192
n=12_r=22_64.txt,112320000,1536,24
n=12_r=22_65.txt,45362304,4032,12
n=12_r=22_66.txt,92411904,3456,18
n=12_r=22_67.txt,121305600,3072,192
n=12_r=22_68.txt,238878720,4608,864
n=12_r=22_69.txt,141372000,5040,80
n=12_r=22_70.txt,102960000,10368,180
n=12_r=22_71.txt,105283584,1260,144
n=12_r=22_72.txt,74115000,9472,32
n=12_r=22_73.txt,204120000,7680,384
n=12_r=22_74.txt,83745792,2016,24
n=12_r=22_75.txt,37234080,3584,16
n=12_r=22_76.txt,336061440,18144,360
n=12_r=22_77.txt,79626240,1728,864
n=12_r=22_78.txt,128494080,10368,360
n=12_r=22_79.txt,19901700,5120,256
n=12_r=22_80.txt,101088000,3072,96
n=12_r=22_81.txt,74027520,10080,576
n=12_r=22_82.txt,73156608,1200,768
n=12_r=22_83.txt,297872640,10752,48
n=12_r=22_84.txt,547223040,6720,672
n=12_r=22_85.txt,51840000,2304,144
n=12_r=22_86.txt,329011200,4032,144
n=12_r=22_87.txt,248062500,6400,64
n=12_r=22_88.txt,54743040,7776,4320
n=12_r=22_89.txt,199065600,4608,432
n=12_r=22_90.txt,607115520,42120,360
n=12_r=22_91.txt,147184128,11520,576
n=12_r=22_92.txt,57507840,576,72
n=12_r=22_93.txt,226437120,17280,1728
n=12_r=22_94.txt,65318400,5760,1152
n=12_r=22_95.txt,87091200,2880,576
n=12_r=22_96.txt,179159040,9216,1728
n=12_r=22_97.txt,76377600,8064,72
n=12_r=22_98.txt,265356000,15360,384
n=12_r=22_99.txt,17248140,5120,128
