Minimum level:2
Runtime (sec):4.6220913000
Support network with minimum level
25 13
25 47
47 34
3 63
3 23
63 9
23 61
37 14
15 38
38 18
55 40
55 56
40 48
56 46
45 5
5 29
61 32
61 62
67 68
67 53
68 19
53 59
1 8
51 30
51 52
30 7
52 36
29 31
29 67
41 69
69 43
28 42
42 65
35 2
2 49
2 3
36 41
31 39
39 55
39 51
32 27
62 44
43 21
21 70
21 22
64 20
20 54
33 20
34 66
48 16
58 45
50 37
26 24
24 17
27 28
19 64
70 25
65 10
66 26
22 46
0 35
16 26
7 15
54 50
49 57
57 4
46 1
4 58
4 6
44 60
59 60
60 33
17 11
18 12
