Minimum level:2
Runtime (sec):0.3420251000
Support network with minimum level
52 28
28 10
80 28
83 63
63 84
84 1
100 64
64 49
66 97
97 86
60 44
44 91
43 44
41 42
42 61
93 94
94 11
24 78
78 7
51 73
51 57
73 52
57 58
56 74
74 24
27 18
18 39
79 80
7 100
99 31
31 70
54 59
59 27
59 60
40 12
12 16
86 82
82 55
81 25
25 37
15 75
75 35
75 76
16 46
71 72
72 20
19 32
32 47
65 66
26 30
30 9
29 65
29 34
34 22
33 36
36 2
58 20
55 56
4 69
69 23
22 8
90 92
92 68
91 21
21 98
35 51
35 4
76 71
70 62
23 29
17 38
38 54
37 3
3 95
3 99
98 90
85 50
50 17
49 79
0 87
0 96
87 53
96 33
95 19
53 83
88 48
48 89
47 77
77 85
77 93
1 45
1 81
45 15
89 6
39 67
39 40
67 26
9 41
62 88
68 5
20 14
61 13
46 43
